,content,rating
11,"Il pacco è arrivato subito, nel giro di una settimana... venduto e spedito da Amazon. Non sono le mascherine della marca indicata...sono arrivate 50 mascherine in un sacchetto sigillato con dentro due foglietti scritti in Cinese....visto il periodo è comprensibile alla fine sono fatte tutte nello stesso modo, blu fuori e bianche all'interno con il ferretto x il naso...xò non bisogna indicare una marca se poi non è quella....io x sicurezza ho cambiato sacchetto e le ho lasciate una giornata sotto il sole cocente....in ogni caso si sa ormai che servono solo x proteggere gli altri, se si vuole una mascherina che impedisca di prenderti il virus bisogna prendere una ffp2 o ffp3 senza valvola. io le ho comprate in farmacia a 8 euro l'una. Le tengo x emergenza.",3
12,"Prodotto buono made in china nelle foto si vede differenza tra una mascherina comprata su amazon (lato azzurro) e una comprata in farmacia (lato bianco) praticamente identiche tranne per il prezzo.... Metto 4 stelle perché a differenza delle foto su amazon il materiale arriva imballato in un pacco di plasticaccia e non in una scatola,  inoltre hanno un leggero cattivo odore, visto il prezzo inferiore ai 50 centesimi tutto sommato sono cose accettabili. Provvederò a profumarle prima di indossarle. Arrivate in anticipo rispetto alla data presunta.",4
13,Sono un chirurgo e uso da 15 anni mascherine chirurgiche. L’irreperibilità sul mercato mi ha fatto cedere all’acquisto online e sono rimasta delusa. La mascherina ha 1SOLO STRATO e non tre e non è impermeabile. L’impermeabilità del terzo strato è utile proprio perchè deve proteggere dalle particelle liquide delle secrezioni. Detto questo....se volete una protezione che sia pari ad un comune foulard vanno bene altrimenti rinunciate all’acquisto.,3
14,"Mascherina a tre veli, davvero discreta ma credo sia in linea con altre mascherine chirurgiche, ampie e sopratutto permettono di respirare decentemente, personalmente con le altre tipologie mi sento davvero oppresso. Tutto sommato data l'urgenza e l'irreperibilità vanno più che bene. Premetto che ho approfittato del fatto che fossero spedite da Amazon ed infatti mi sono arrivare in 2/3 giorni lavorativi. Quando sono vendute e spedite dal venditore impiegano più tempo",4
15,"Le mascherine sono fatte abbastanza bene, sono le classiche economiche non lavabili con le due molle da attaccare alle orecchie. Le molle sono molto sottili e morbide e non danno fastidio all’orecchio. Alcune purtroppo si rompono al primo utilizzo, si stacca uno degli attacchi delle molle. Per quanto riguarda l’esperienza di acquisto, il venditore avrebbe potuto comportarsi meglio: appena ultimato l’acquisto mi sono reso conto che i tempi di consegna sarebbero stati troppo lunghi. Ho scritto un messaggio al venditore per annullare l’ordine ma non mi ha risposto subito, dopodiché ha contrassegnato come spedito e mi ha risposto dicendomi che aveva già spedito. Sono arrivate comunque dopo molti giorni. Ho avuto come la sensazione che l’abbia fatto apposta per non perdere la vendita, mi sembra poco professionale onestamente. Tutti abbiamo diritto al ripensamento, e io ho scritto subito dopo l’acquisto.",2
16,"Le mascherine sembrano fatte bene ma non sono contenute in una scatola e non sono marcate CE. Il contenitore è un sacchetto semitrasparente non perfettamente integro. Non si ha l'impressione che l'igiene sia al top. Le istruzioni in inglese consistono in un foglietto minuscolo e poco leggibile incollato al sacchetto mentre all'interno c'è un foglietto più leggibile ma in cinese. Per 23,29 euro mi aspettavo qualcosa di meglio.",1
17,"Zero certificazioni, arrivano in una busta. Uno schifo di prodotto, spacciato per un prodotto certificato Europeo. Mi spiace, mi ero fidato anche del giudizio di altri utenti.",1
18,"Ottime mascherine, comprate al prezzo di 25 euro quindi 48 centesimi a mascherina. Le mascherine sono come quelle che compri in farmacia. Hanno la certificazione cinese ma non credo che quelle in commercio abbiamo diverse certificazioni.",5
19,"Mascherine che non rispecchiano le foto del venditore infatti sono confezionate in una busta senza marchio e certificazioni a differenza della foto in cui è presente uno scatolo con relative certificazioni, poco igiene e serietà",1
20,"Ho acquistato questa confezione di mascherine a 19.99 quindi 40 centesimi a mascherina, prezzo tutto sommato onesto. La qualità della mascherina è a mio avviso più che discreta, ne ho provate altre e questa ha una consistenza indubbiamente maggiore. Risulta al tatto anche più morbida e spessa. Nella confezione è presente un certificato (cinese) che ne attesta la tipologia IIR. Gli elastici mantengono molto bene, ne ho già utilizzate 5 senza nessun problema. Veniamo ai difetti, essenzialmente due: 1) le mascherine sono chiuse in una scatola ma senza un imballo ad isolarle, nessun plastica di protezione 2) il ferretto che stringe sul naso sembra non essere di metallo, quindi si piega bene ma senza raggiungere una chiusura massima",4
21,"Attenzione, ha un ferretto nasale in plastica che non permette di far aderire bene la mascherina. Forsa vanno bene a chi non porta gli occhiali in quanto senza aderenza gli occhiali si appannano più facilmente",1
22,"La confezione di cartone era già aperta, appena l'ho presa da un lato per toglierla dalla busta di spedizione tutte le mascherine (tutte!) sono fuoriuscite e sono finite in terra. Veramente pessimo.",1
23,"Mascherine vendute come ""Maschera Chirurgica 3P di Tipo IIR"" Conforme alla norma EN 14683: 2019 + AC: 2019 invece sono arrivate mascherine anonime con dicitura ""Proibito l'uso medico""",1
24,ARRIVATO APERTO PESSIMO PRODOTTO,1
25,"Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio",2
26,"Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo",5
27,Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..,1
28,Spedizione puntuale e gioco da paura!,5
29,"Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!",5
30,"Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio",2
31,"Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo",5
32,Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..,1
33,Spedizione puntuale e gioco da paura!,5
34,"Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!",5
35,"Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio",2
36,"Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo",5
37,Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..,1
38,Spedizione puntuale e gioco da paura!,5
39,"Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!",5
40,"Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio",2
41,"Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo",5
42,Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..,1
43,Spedizione puntuale e gioco da paura!,5
44,"Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!",5
45,"Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio",2
46,"Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo",5
47,Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..,1
48,Spedizione puntuale e gioco da paura!,5
49,"Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!",5
50,"Un libro importante, da conoscere, oserei quasi dire indispensabile, ma anche una delusione; da Chomsky, insigne intellettuale, mi aspettavo qualcosa di diverso. L'opera vuole mostrare come i mass media dei paesi democratici occidentali siano di fatto asserviti ai poteri economici e politici secondo un modello di propaganda. Dall'opera di un accademico mi aspettavo un'analisi dei meccanismi attraverso cui il sistema della propaganda si instaura. Nel libro vi  è molta documentazione, ma poca analisi; se si toglie la parte iniziale, in cui vengono elencati un po' sommariamente i ""filtri"" che condizionano i mass media e qualche considerazione nelle conclusioni, non vi è alcun tentativo di formulare dei principi o delle leggi generali che possano spiegare e descrivere questi meccanismi. Altro limite è il fatto che lo studio si basa quasi esclusivamente su  un'analisi dei mezzi di informazione americani (USA), sviscerati con un piglio che è più del giornalista investigativo che non del professore. Un libro comunque da leggere, se non altro per la sua capacità di rivoltare come un calzino tanta storia contemporanea, dandone una lettura completamente nuova e in genere sconvolgente. Un libro per stomaci forti, con centinaia di pagine tutte incentrate nella descrizione di infiniti omicidi, stragi, torture e terrore; cose spiacevoli che è meglio conoscere.",4
51,"Una meraviglia. Il primo capitolo che espone il modello generale è ormai un classico, i casi discussione nei capitoli seguenti fanno gridare vendetta anche per l'ipocrisia delle istituzioni. Ottimo lavoro di Herman e Chomsky, da tenere vicino a Bauman e Pasolini.",5
52,"In un mondo di ""normalizzati"" leggere un libro come questo aiuta a sentirsi meno soli e più liberi. Grazie di esistere Noam!",5
53,"Libro sicuramente non di facile lettura, che permette però di scoprire di una realtà celata agli occhi della gente, analizzando i meccanismi e le leggi che governano il sistema televisivo e giornalistico.",4
54,"Più complesso e scientifico di quanto le recensioni altrui mi avessero fatto pensare. Ricco di schemi e grafici, sicuramente non scorrevole.",3
55,La giusta chiave di lettura della attuale fase politica costruita interamente sull’imbroglio e la sopraffazione dei deboli e dei poco istruiti,4
56,"Certo che le cose stanno così, l' idea viene spiegata e il tema svolto è articolato molto bene, suggerisco la lettura. nessun problema con la spedizione.",5
57,"E' un'analisi molto approfondita sugli artifici usati dai potenti per formare il consenso nelle masse. Un testo universitario, ampio, con molta documentazione.",5
58,"Grande autore, ottimo libro",5
59,un libro che consiglio a tutti in qusnto traccia uno spaccato della nostra società asservita ai media. e poi chomsky non sbaglia un libro!,5
60,"Un libro importante, da conoscere, oserei quasi dire indispensabile, ma anche una delusione; da Chomsky, insigne intellettuale, mi aspettavo qualcosa di diverso. L'opera vuole mostrare come i mass media dei paesi democratici occidentali siano di fatto asserviti ai poteri economici e politici secondo un modello di propaganda. Dall'opera di un accademico mi aspettavo un'analisi dei meccanismi attraverso cui il sistema della propaganda si instaura. Nel libro vi  è molta documentazione, ma poca analisi; se si toglie la parte iniziale, in cui vengono elencati un po' sommariamente i ""filtri"" che condizionano i mass media e qualche considerazione nelle conclusioni, non vi è alcun tentativo di formulare dei principi o delle leggi generali che possano spiegare e descrivere questi meccanismi. Altro limite è il fatto che lo studio si basa quasi esclusivamente su  un'analisi dei mezzi di informazione americani (USA), sviscerati con un piglio che è più del giornalista investigativo che non del professore. Un libro comunque da leggere, se non altro per la sua capacità di rivoltare come un calzino tanta storia contemporanea, dandone una lettura completamente nuova e in genere sconvolgente. Un libro per stomaci forti, con centinaia di pagine tutte incentrate nella descrizione di infiniti omicidi, stragi, torture e terrore; cose spiacevoli che è meglio conoscere.",4
61,"Una meraviglia. Il primo capitolo che espone il modello generale è ormai un classico, i casi discussione nei capitoli seguenti fanno gridare vendetta anche per l'ipocrisia delle istituzioni. Ottimo lavoro di Herman e Chomsky, da tenere vicino a Bauman e Pasolini.",5
62,"In un mondo di ""normalizzati"" leggere un libro come questo aiuta a sentirsi meno soli e più liberi. Grazie di esistere Noam!",5
63,"Libro sicuramente non di facile lettura, che permette però di scoprire di una realtà celata agli occhi della gente, analizzando i meccanismi e le leggi che governano il sistema televisivo e giornalistico.",4
64,"Più complesso e scientifico di quanto le recensioni altrui mi avessero fatto pensare. Ricco di schemi e grafici, sicuramente non scorrevole.",3
65,La giusta chiave di lettura della attuale fase politica costruita interamente sull’imbroglio e la sopraffazione dei deboli e dei poco istruiti,4
66,"Certo che le cose stanno così, l' idea viene spiegata e il tema svolto è articolato molto bene, suggerisco la lettura. nessun problema con la spedizione.",5
67,"E' un'analisi molto approfondita sugli artifici usati dai potenti per formare il consenso nelle masse. Un testo universitario, ampio, con molta documentazione.",5
68,"Grande autore, ottimo libro",5
69,un libro che consiglio a tutti in qusnto traccia uno spaccato della nostra società asservita ai media. e poi chomsky non sbaglia un libro!,5
70,"Un libro importante, da conoscere, oserei quasi dire indispensabile, ma anche una delusione; da Chomsky, insigne intellettuale, mi aspettavo qualcosa di diverso. L'opera vuole mostrare come i mass media dei paesi democratici occidentali siano di fatto asserviti ai poteri economici e politici secondo un modello di propaganda. Dall'opera di un accademico mi aspettavo un'analisi dei meccanismi attraverso cui il sistema della propaganda si instaura. Nel libro vi  è molta documentazione, ma poca analisi; se si toglie la parte iniziale, in cui vengono elencati un po' sommariamente i ""filtri"" che condizionano i mass media e qualche considerazione nelle conclusioni, non vi è alcun tentativo di formulare dei principi o delle leggi generali che possano spiegare e descrivere questi meccanismi. Altro limite è il fatto che lo studio si basa quasi esclusivamente su  un'analisi dei mezzi di informazione americani (USA), sviscerati con un piglio che è più del giornalista investigativo che non del professore. Un libro comunque da leggere, se non altro per la sua capacità di rivoltare come un calzino tanta storia contemporanea, dandone una lettura completamente nuova e in genere sconvolgente. Un libro per stomaci forti, con centinaia di pagine tutte incentrate nella descrizione di infiniti omicidi, stragi, torture e terrore; cose spiacevoli che è meglio conoscere.",4
71,"Una meraviglia. Il primo capitolo che espone il modello generale è ormai un classico, i casi discussione nei capitoli seguenti fanno gridare vendetta anche per l'ipocrisia delle istituzioni. Ottimo lavoro di Herman e Chomsky, da tenere vicino a Bauman e Pasolini.",5
72,"In un mondo di ""normalizzati"" leggere un libro come questo aiuta a sentirsi meno soli e più liberi. Grazie di esistere Noam!",5
73,"Libro sicuramente non di facile lettura, che permette però di scoprire di una realtà celata agli occhi della gente, analizzando i meccanismi e le leggi che governano il sistema televisivo e giornalistico.",4
74,"Più complesso e scientifico di quanto le recensioni altrui mi avessero fatto pensare. Ricco di schemi e grafici, sicuramente non scorrevole.",3
75,La giusta chiave di lettura della attuale fase politica costruita interamente sull’imbroglio e la sopraffazione dei deboli e dei poco istruiti,4
76,"Certo che le cose stanno così, l' idea viene spiegata e il tema svolto è articolato molto bene, suggerisco la lettura. nessun problema con la spedizione.",5
77,"E' un'analisi molto approfondita sugli artifici usati dai potenti per formare il consenso nelle masse. Un testo universitario, ampio, con molta documentazione.",5
78,"Grande autore, ottimo libro",5
79,un libro che consiglio a tutti in qusnto traccia uno spaccato della nostra società asservita ai media. e poi chomsky non sbaglia un libro!,5
80,"Libriccino snello ma “succoso”, con un minimo di attenzione fruibile in larga parte anche dai “non addetti ai lavori”. Dopo un’introduzione generale di epidemiologia, l’Autore analizza e descrive i concetti di mutazione, trasmissione, evoluzione della virulenza in generale. Segue un breve excursus su origine e storia delle epidemie, sull’ormai famoso spillover virale (salto di specie dall’animale all’uomo) e i fattori che lo favoriscono (a proposito, scarsa, secondo l’autore, l’evidenza dei cambiamenti climatici), e un passaggio “a volo d’uccello” sulle pandemie/epidemie emergenti dagli anni ‘60 del secolo scorso fino ai giorni nostri, influenze varie e AIDS compresi. Interessante anche laddove - questo si, almeno in parte collegabile alla tropicalizzazione da aumentata CO2 nell’atmosfera - Rezza parla delle zoonosi tropicali prima assenti nel nostro paese e oggi presenti, a vettore la zanzara, e del rapporto tra tumori, malattie croniche degenerative e agenti (virus) infettivi. Discreta a sempre carente se confrontata con quella di analoghe pubblicazioni anglosassoni, l’iconografia, ma questo sembra essere un difetto cronico dell’editoria scientifica italiana. La morale? Non dobbiamo mai far calare l’attenzione: le pandemie le abbiamo create noi e adesso che ci sono dobbiamo saperle controllare.",4
81,"Il libro a tratti mi è sembrato pesante, pur rimanendo in generale interessante. Mi è parso a metà strada tra un divulgativo puro e un libro un po' più tecnico. Forse qualche riga in più in alcuni passaggi sarebbe stato auspicabile visto che il lettore medio non è un medico. Comunque un libro interessante e scritto da persona competente.",4
82,"Il libro si presenta in modo molto preciso, utile per chi si vuole avvicinare al mondo dell'epidemiologia, secondo il mio parere personale utile anche come manuale integrativo al corso di laurea. Grazie anche allo scrittore, il professore Rezza, penso che ci voglia trasmettere la professionalità e la serietà del suo mestiere. Utile anche per piccole ricerche (spesso e volentieri le nostre ricerche sono dei semplicissimi dubbi) in termini di malattie infettive.",5
83,un libro che aiuta riflettere di questi tempi e comportarsi in modo responsabile,5
84,Definirlo un libro è già offensivo. Ho seguito le sue dirette e mi aspettavo qualcosa di interessante. Invece non ho trovato nulla che mi spinga a consigliarlo a qualcuno se non come blocco note da utilizzare per prendere appunti vista la miriade di pagine vuote contenute tra le 150 pagine del pseudo libro. Delusione assoluta,1
