"title","content","date","variant","images","verified","author","rating","product","url"
"Buone ma manca il marchio CE!","Il prodotto sembrerebbe anche buono perché è dotato di ferretto per il naso, tiene bene coperto, se si soffia non esce l'aria, gli elastici sono morbidi ed è anche impermeabile. Però non sono tanto soddisfatto perché il prodotto non rispecchia quello proposto nelle foto. Non arriva in una scatola di cartone ma in una plastica nera che contiene un'ulteriore plastica trasparente. Ma la cosa che mi lascia alquanto perplesso è la mancanza del marchio CE che rende il prodotto poco sicuro anche se sono presenti delle certificazioni cinesi. Proverò a contattare il servizio clienti visto che quando le ho prese io erano vendute e spedite direttamente da Amazon.","Recensito in Italia il 22 maggio 2020","Colore: Blu","https://images-na.ssl-images-amazon.com/images/I/612JUkrgZrL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61XGOfxOHxL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61kYmo4MxML._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61tVbc-8iDL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61tWsxemzIL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71iTjOakouL._SY88.jpg","Yes","Homer S.","3","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Ok ma....","Il pacco è arrivato subito, nel giro di una settimana... venduto e spedito da Amazon. Non sono le mascherine della marca indicata...sono arrivate 50 mascherine in un sacchetto sigillato con dentro due foglietti scritti in Cinese....visto il periodo è comprensibile alla fine sono fatte tutte nello stesso modo, blu fuori e bianche all'interno con il ferretto x il naso...xò non bisogna indicare una marca se poi non è quella....io x sicurezza ho cambiato sacchetto e le ho lasciate una giornata sotto il sole cocente....in ogni caso si sa ormai che servono solo x proteggere gli altri, se si vuole una mascherina che impedisca di prenderti il virus bisogna prendere una ffp2 o ffp3 senza valvola. io le ho comprate in farmacia a 8 euro l'una. Le tengo x emergenza.","Recensito in Italia il 22 maggio 2020","Colore: Blu","","Yes","Rachele R.","3","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Cinesi come la maggior parte !","Prodotto buono made in china nelle foto si vede differenza tra una mascherina comprata su amazon (lato azzurro) e una comprata in farmacia (lato bianco) praticamente identiche tranne per il prezzo.... Metto 4 stelle perché a differenza delle foto su amazon il materiale arriva imballato in un pacco di plasticaccia e non in una scatola,  inoltre hanno un leggero cattivo odore, visto il prezzo inferiore ai 50 centesimi tutto sommato sono cose accettabili. Provvederò a profumarle prima di indossarle. Arrivate in anticipo rispetto alla data presunta.","Recensito in Italia il 22 maggio 2020","Colore: Blu","https://images-na.ssl-images-amazon.com/images/I/711+eDBPcSL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71HD5c5eAXL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71rEmyMsiWL._SY88.jpg","Yes","dennyred","4","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Rinunciate all’acquisto","Sono un chirurgo e uso da 15 anni mascherine chirurgiche. L’irreperibilità sul mercato mi ha fatto cedere all’acquisto online e sono rimasta delusa. La mascherina ha 1SOLO STRATO e non tre e non è impermeabile. L’impermeabilità del terzo strato è utile proprio perchè deve proteggere dalle particelle liquide delle secrezioni. Detto questo....se volete una protezione che sia pari ad un comune foulard vanno bene altrimenti rinunciate all’acquisto.","Recensito in Italia il 5 giugno 2020","Colore: Blu","","Yes","fabiola incandela","3","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Circa 40 centesimi cad.","Mascherina a tre veli, davvero discreta ma credo sia in linea con altre mascherine chirurgiche, ampie e sopratutto permettono di respirare decentemente, personalmente con le altre tipologie mi sento davvero oppresso. Tutto sommato data l'urgenza e l'irreperibilità vanno più che bene. Premetto che ho approfittato del fatto che fossero spedite da Amazon ed infatti mi sono arrivare in 2/3 giorni lavorativi. Quando sono vendute e spedite dal venditore impiegano più tempo","Recensito in Italia il 25 maggio 2020","Colore: Blu","","Yes","Raffaele","4","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Mascherine discrete, venditore un po’ meno","Le mascherine sono fatte abbastanza bene, sono le classiche economiche non lavabili con le due molle da attaccare alle orecchie. Le molle sono molto sottili e morbide e non danno fastidio all’orecchio. Alcune purtroppo si rompono al primo utilizzo, si stacca uno degli attacchi delle molle. Per quanto riguarda l’esperienza di acquisto, il venditore avrebbe potuto comportarsi meglio: appena ultimato l’acquisto mi sono reso conto che i tempi di consegna sarebbero stati troppo lunghi. Ho scritto un messaggio al venditore per annullare l’ordine ma non mi ha risposto subito, dopodiché ha contrassegnato come spedito e mi ha risposto dicendomi che aveva già spedito. Sono arrivate comunque dopo molti giorni. Ho avuto come la sensazione che l’abbia fatto apposta per non perdere la vendita, mi sembra poco professionale onestamente. Tutti abbiamo diritto al ripensamento, e io ho scritto subito dopo l’acquisto.","Recensito in Italia il 12 luglio 2020","Colore: Blu","","Yes","Luigi","2","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Sembrano fatte bene ma...","Le mascherine sembrano fatte bene ma non sono contenute in una scatola e non sono marcate CE. Il contenitore è un sacchetto semitrasparente non perfettamente integro. Non si ha l'impressione che l'igiene sia al top. Le istruzioni in inglese consistono in un foglietto minuscolo e poco leggibile incollato al sacchetto mentre all'interno c'è un foglietto più leggibile ma in cinese. Per 23,29 euro mi aspettavo qualcosa di meglio.","Recensito in Italia il 7 giugno 2020","Colore: Blu","","Yes","Jim Pace","1","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Non adatte. Uno schifo di prodotto","Zero certificazioni, arrivano in una busta. Uno schifo di prodotto, spacciato per un prodotto certificato Europeo. Mi spiace, mi ero fidato anche del giudizio di altri utenti.","Recensito in Italia il 25 maggio 2020","Colore: Blu","","Yes","flavio","1","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Ottime mascherine chirurgiche al prezzo giusto","Ottime mascherine, comprate al prezzo di 25 euro quindi 48 centesimi a mascherina. Le mascherine sono come quelle che compri in farmacia. Hanno la certificazione cinese ma non credo che quelle in commercio abbiamo diverse certificazioni.","Recensito in Italia il 22 maggio 2020","Colore: Blu","https://images-na.ssl-images-amazon.com/images/I/61WYw1N6zbL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71quiTOL+BL._SY88.jpg","Yes","Maurizio","5","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"NON rispecchiano il prodotto","Mascherine che non rispecchiano le foto del venditore infatti sono confezionate in una busta senza marchio e certificazioni a differenza della foto in cui è presente uno scatolo con relative certificazioni, poco igiene e serietà","Recensito in Italia il 22 maggio 2020","Colore: Blu","https://images-na.ssl-images-amazon.com/images/I/61+MIIwQfhL._SY88.jpg","Yes","Alessio","1","In pronta consegna Mascherina chirurgica monouso 3 strati antipolvere tessuto non tessuto (TNT) scatola da 50 pezzi","https://www.amazon.it/consegna-Mascherina-chirurgica-monouso-antipolvere/product-reviews/B0876DF23T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Di disreta qualità, prezzo ok, piccolo difetto sul ferretto naso","Ho acquistato questa confezione di mascherine a 19.99 quindi 40 centesimi a mascherina, prezzo tutto sommato onesto. La qualità della mascherina è a mio avviso più che discreta, ne ho provate altre e questa ha una consistenza indubbiamente maggiore. Risulta al tatto anche più morbida e spessa. Nella confezione è presente un certificato (cinese) che ne attesta la tipologia IIR. Gli elastici mantengono molto bene, ne ho già utilizzate 5 senza nessun problema. Veniamo ai difetti, essenzialmente due: 1) le mascherine sono chiuse in una scatola ma senza un imballo ad isolarle, nessun plastica di protezione 2) il ferretto che stringe sul naso sembra non essere di metallo, quindi si piega bene ma senza raggiungere una chiusura massima","Recensito in Italia il 17 luglio 2020","","","Yes","Fabio D","4","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"ferretto nasale in plastica","Attenzione, ha un ferretto nasale in plastica che non permette di far aderire bene la mascherina. Forsa vanno bene a chi non porta gli occhiali in quanto senza aderenza gli occhiali si appannano più facilmente","Recensito in Italia il 7 luglio 2020","","","Yes","Luca","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Pessimo","La confezione di cartone era già aperta, appena l'ho presa da un lato per toglierla dalla busta di spedizione tutte le mascherine (tutte!) sono fuoriuscite e sono finite in terra. Veramente pessimo.","Recensito in Italia il 7 luglio 2020","","https://images-na.ssl-images-amazon.com/images/I/71+ry1MRHkL._SY88.jpg","Yes","Valeria M.","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"SPEDIZIONE ERRATA","Mascherine vendute come ""Maschera Chirurgica 3P di Tipo IIR"" Conforme alla norma EN 14683: 2019 + AC: 2019 invece sono arrivate mascherine anonime con dicitura ""Proibito l'uso medico""","Recensito in Italia il 14 luglio 2020","","https://images-na.ssl-images-amazon.com/images/I/51K4e7fdoLL._SY88.jpg","Yes","zani","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"ARRIVATO APERTO PESSIMO PRODOTTO","ARRIVATO APERTO PESSIMO PRODOTTO","Recensito in Italia il 10 luglio 2020","","","Yes","Cliente Amazon","1","TianKang, Maschera Chirurgica 3P di Tipo IIR","https://www.amazon.it/TianKang-Maschera-Chirurgica-Tipo-IIR/product-reviews/B088P1RNVH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Gioco per ragazzini","Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio","Recensito in Italia il 18 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Hokuto","2","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Perfetto!","Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Ivan","5","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Mai puntuali","Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","mirko","1","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Bellissimo","Spedizione puntuale e gioco da paura!","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Lorenzo","5","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"L'ultimo samurai?","Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","L'animazione secondo Edo","5","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Gioco per ragazzini","Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio","Recensito in Italia il 18 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Hokuto","2","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Perfetto!","Gioco da paura! Amazon impeccabile, pre ordinato e arrivato il giorno stesso dell'uscita. Consigliatissimo","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Ivan","5","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Mai puntuali","Non acquisterò più giochi su amazon in pre-order...ormai è la quarta volta che mi assicurano che arriva il day one e invece puntualmente mi trovo sempre senza.. nn consiglio..","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","mirko","1","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Bellissimo","Spedizione puntuale e gioco da paura!","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Lorenzo","5","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"L'ultimo samurai?","Ho sempre avuto un debole per il Sol Levante; ho ancora negli occhi il bellissimo Okami e relativo magico sequel, e finalmente posso fare un po' di spazio a Ghost of Tsushima. E' un'avventura open world di rara bellezza, con scorci a dir poco poetici, musiche da Oscar e cavalcate entusiasmanti. Non è un Sekiro, tranquilli. Qua non è la difficoltà a farla da padrona, ma il comparto artistico, che da solo vale il prezzo del biglietto. La storia è interessante, il gameplay non ha nulla di stravolgente ma fa bene il suo dovere, pizzicando qualcosa da altri grandi giochi, senza farvi incappare mai nella noia (a parte le missioni secondarie, non eccessivamente varie). Tra storia, missioni secondarie, esplorazione e l'immancabile photo mode per i provetti paparazzi, siamo intorno alle 25 ore. Stupendo, Tom Cruise e Ken Watanabe approvano!","Recensito in Italia il 17 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","L'animazione secondo Edo","5","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2
"
"Gioco per ragazzini","Ghost of tsushima e semplicemente un gioco per ragazzini sui 14 anni, non trovo altro modo per descriverlo. Non avevo altissime aspettative, prima di acquistarlo ho letto alcune recensioni e visto alcuni video quindi sapevo già cosa aspettarmi, in realtà avevo deciso di non aquistarlo per poi cambiare idea al ultimo momento, purtroppo procedendo con l'aquisto ho fatto la scelta sbagliata, come immaginavo il gioco e pessimo, trama banale e noiosa, personaggio principale troppo ""spento"", sistema di combattimento a tratti frustrante, grafica su PS4 pro buona ma nulla di speciale, i volti degli npc principali sembrano provenire da un gioco del 2014 ma comunque il mondo di gioco rimane bello da vedere, infine il doppiaggio inglese anche questo lo trovato piuttosto sottotono, quello italiano non l'ho provato ma sicuramente sarà peggio forse il giapponese e migliore, ho giocato per sole 2 ore ma bastano e avanzano non ho nessuna voglia di continuare, credo che in molti si divertiranno con questo gioco, io sono abituato a giochi fatti bene come Red dead Redemption 2 o The Last of us part 2 quindi esigo una certa qualità, se volete un gioco serio giapponese prendete Sekiro Shadow die twice fidatevi e 10 volte meglio","Recensito in Italia il 18 luglio 2020","Piattaforma: PlayStation 4 Edizione: Standard","","Yes","Hokuto","2","Ghost of Tsushima - Standard - PlayStation 4","https://www.amazon.it/Ghost-Tsushima-Standard-PlayStation-4/product-reviews/B085K5S6S5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3
"
